adquiero	adquiriríais
aliento	alentaríais
animo	animaríais
aprendo	aprenderíais
asumo	asumiríais
canto	cantaríais
causo	causaríais
completo	completaríais
comprendo	comprenderíais
confirmo	confirmaríais
consisto	consistiríais
consolido	consolidaríais
coopero	cooperaríais
corro	correríais
crezco	creceríais
cubro	cubriríais
defino	definiríais
dependo	dependeríais
destruyo	destruiríais
empiezo	empezaríais
entiendo	entenderíais
escribo	escribiríais
gasto	gastaríais
guardo	guardaríais
hablo	hablaríais
identifico	identificaríais
incorporo	incorporaríais
indico	indicaríais
limpio	limpiaríais
llego	llegaríais
muero	moriríais
muestro	mostraríais
muevo	moveríais
observo	observaríais
ocurro	ocurriríais
opero	operaríais
organizo	organizaríais
pienso	pensaríais
presto	prestaríais
prevengo	prevendríais
promuevo	promoveríais
propongo	propondríais
quedo	quedaríais
recojo	recogeríais
satisfago	satisfaríais
siento	sentiríais
sirvo	serviríais
solicito	solicitaríais
trabajo	trabajaríais
vuelo	volaríais
