abordo	abordamos
amplío	ampliamos
analizo	analizamos
aprovecho	aprovechamos
atraigo	atrajimos
avanzo	avanzamos
caigo	caímos
caso	casamos
celebro	celebramos
compro	compramos
conservo	conservamos
cuento	contamos
continúo	continuamos
controlo	controlamos
dejo	dejamos
enseño	enseñamos
escucho	escuchamos
espero	esperamos
evito	evitamos
explico	explicamos
expreso	expresamos
facilito	facilitamos
firmo	firmamos
formulo	formulamos
gano	ganamos
habilito	habilitamos
implico	implicamos
involucro	involucramos
manejo	manejamos
mato	matamos
necesito	necesitamos
paro	paramos
pido	pedimos
permanezco	permanecimos
puedo	pudimos
protejo	protegimos
reemplazo	reemplazamos
sé	supimos
sigo	seguimos
soy	fuimos
señalo	señalamos
sobrevivo	sobrevivimos
supero	superamos
tengo	tuvimos
termino	terminamos
tomo	tomamos
uso	usamos
utilizo	utilizamos
vuelo	volamos
voto	votamos
