abordar	abordaría
adoptar	adoptaría
buscar	buscaría
cambiar	cambiaría
caminar	caminaría
cantar	cantaría
causar	causaría
celebrar	celebraría
cerrar	cerraría
combatir	combatiría
cortar	cortaría
crecer	crecería
cuidar	cuidaría
demostrar	demostraría
desarrollar	desarrollaría
discutir	discutiría
dormir	dormiría
elaborar	elaboraría
encontrar	encontraría
enseñar	enseñaría
enviar	enviaría
establecer	establecería
estar	estaría
examinar	examinaría
expresar	expresaría
fallar	fallaría
generar	generaría
incorporar	incorporaría
invertir	invertiría
ir	iría
limitar	limitaría
localizar	localizaría
medir	mediría
mejorar	mejoraría
morir	moriría
mostrar	mostraría
oír	oiría
pasar	pasaría
pedir	pediría
pensar	pensaría
permitir	permitiría
poner	pondría
preguntar	preguntaría
preparar	prepararía
prevenir	prevendría
reconocer	reconocería
recuperar	recuperaría
sentar	sentaría
sentir	sentiría
señalar	señalaría
