abrió	abrirían
acordó	acordarían
analizó	analizarían
apoyó	apoyarían
aprobó	aprobarían
aprovechó	aprovecharían
atendió	atenderían
añadió	añadirían
buscó	buscarían
causó	causarían
compartió	compartirían
compró	comprarían
concluyó	concluirían
confirmó	confirmarían
consideró	considerarían
construyó	construirían
controló	controlarían
convirtió	convertirían
cortó	cortarían
designó	designarían
destruyó	destruirían
detuvo	detendrían
escapó	escaparían
evitó	evitarían
existió	existirían
falló	fallarían
firmó	firmarían
habló	hablarían
imaginó	imaginarían
incluyó	incluirían
introdujo	introducirían
leyó	leerían
luchó	lucharían
murió	morirían
olvidó	olvidarían
perdió	perderían
puso	pondrían
probó	probarían
recuperó	recuperarían
regresó	regresarían
robó	robarían
sintió	sentirían
sufrió	sufrirían
usó	usarían
vio	verían
verificó	verificarían
viajó	viajarían
voló	volarían
volvió	volverían
votó	votarían
