aceptáis	aceptan
adquirís	adquieren
agradecéis	agradecen
aprovecháis	aprovechan
asumís	asumen
atraéis	atraen
camináis	caminan
celebráis	celebran
conocéis	conocen
corréis	corren
dais	dan
descargáis	descargan
dormís	duermen
empezáis	empiezan
escapáis	escapan
estudiáis	estudian
existís	existen
explicáis	explican
garantizáis	garantizan
habéis	han
hacéis	hacen
impedís	impiden
informáis	informan
introducís	introducen
leéis	leen
limitáis	limitan
lucháis	luchan
mencionáis	mencionan
organizáis	organizan
parecéis	parecen
participáis	participan
permanecéis	permanecen
preguntáis	preguntan
preparáis	preparan
prestáis	prestan
proponéis	proponen
proveéis	proveen
recogéis	recogen
recuperáis	recuperan
reducís	reducen
referís	refieren
resolvéis	resuelven
sentáis	sientan
sentís	sienten
termináis	terminan
traéis	traen
tratáis	tratan
unís	unen
utilizáis	utilizan
voláis	vuelan
