administró	administrarán
agradeció	agradecerán
amplió	ampliarán
animó	animarán
aprovechó	aprovecharán
añadió	añadirán
bailó	bailarán
compartió	compartirán
completó	completarán
concluyó	concluirán
conoció	conocerán
consistió	consistirán
controló	controlarán
cortó	cortarán
creó	crearán
creció	crecerán
definió	definirán
durmió	dormirán
enseñó	enseñarán
estableció	establecerán
estudió	estudiarán
evadió	evadirán
examinó	examinarán
facilitó	facilitarán
ganó	ganarán
garantizó	garantizarán
identificó	identificarán
impidió	impedirán
implicó	implicarán
incorporó	incorporarán
limitó	limitarán
llegó	llegarán
pagó	pagarán
proporcionó	proporcionarán
quedó	quedarán
recogió	recogerán
reconoció	reconocerán
relacionó	relacionarán
resolvió	resolverán
respetó	respetarán
robó	robarán
sacó	sacarán
satisfizo	satisfarán
siguió	seguirán
sugirió	sugerirán
tuvo	tendrán
tocó	tocarán
utilizó	utilizarán
visitó	visitarán
volvió	volverán
