alentaste	alentaría
analizaste	analizaría
animaste	animaría
aumentaste	aumentaría
avanzaste	avanzaría
cambiaste	cambiaría
caminaste	caminaría
causaste	causaría
celebraste	celebraría
cerraste	cerraría
combatiste	combatiría
conociste	conocería
conservaste	conservaría
cubriste	cubriría
definiste	definiría
dependiste	dependería
desarrollaste	desarrollaría
desempeñaste	desempeñaría
designaste	designaría
dirigiste	dirigiría
discutiste	discutiría
evadiste	evadiría
facilitaste	facilitaría
fallaste	fallaría
fomentaste	fomentaría
ganaste	ganaría
generaste	generaría
implicaste	implicaría
iniciaste	iniciaría
instalaste	instalaría
fuiste	iría
leíste	leería
luchaste	lucharía
mencionaste	mencionaría
miraste	miraría
participaste	participaría
permaneciste	permanecería
prestaste	prestaría
promocionaste	promocionaría
protegiste	protegería
referiste	referiría
reforzaste	reforzaría
relacionaste	relacionaría
resolviste	resolvería
serviste	serviría
sufriste	sufriría
superaste	superaría
terminaste	terminaría
trabajaste	trabajaría
viviste	viviría
