abordaron	abordaré
acordaron	acordaré
adquirieron	adquiriré
ampliaron	ampliaré
anunciaron	anunciaré
aplicaron	aplicaré
aumentaron	aumentaré
bailaron	bailaré
casaron	casaré
completaron	completaré
condujeron	conduciré
confiaron	confiaré
cubrieron	cubriré
desempeñaron	desempeñaré
destacaron	destacaré
dirigieron	dirigiré
eligieron	elegiré
eliminaron	eliminaré
establecieron	estableceré
evaluaron	evaluaré
evitaron	evitaré
existieron	existiré
explicaron	explicaré
fomentaron	fomentaré
formularon	formularé
fortalecieron	fortaleceré
indicaron	indicaré
intentaron	intentaré
investigaron	investigaré
leyeron	leeré
manejaron	manejaré
mejoraron	mejoraré
miraron	miraré
necesitaron	necesitaré
partieron	partiré
previnieron	prevendré
publicaron	publicaré
realizaron	realizaré
recibieron	recibiré
refirieron	referiré
relacionaron	relacionaré
sacaron	sacaré
salieron	saldré
sentaron	sentaré
sugirieron	sugeriré
supervisaron	supervisaré
trabajaron	trabajaré
vieron	veré
viajaron	viajaré
visitaron	visitaré
