animáis	animó
aprendéis	aprendió
bebéis	bebió
combatís	combatió
confirmáis	confirmó
consultáis	consultó
contribuís	contribuyó
creáis	creó
decidís	decidió
describís	describió
desempeñáis	desempeñó
explicáis	explicó
falláis	falló
financiáis	financió
ganáis	ganó
gastáis	gastó
habilitáis	habilitó
imagináis	imaginó
impedís	impidió
incorporáis	incorporó
informáis	informó
intentáis	intentó
lleváis	llevó
manejáis	manejó
miráis	miró
morís	murió
movéis	movió
oís	oyó
paráis	paró
pasáis	pasó
perdéis	perdió
preparáis	preparó
prestáis	prestó
proporcionáis	proporcionó
publicáis	publicó
quedáis	quedó
realizáis	realizó
recogéis	recogió
reemplazáis	reemplazó
revisáis	revisó
satisfacéis	satisfizo
sentís	sintió
solicitáis	solicitó
superáis	superó
tenéis	tuvo
tomáis	tomó
usáis	usó
utilizáis	utilizó
visitáis	visitó
votáis	votó
