abordaste	abordaréis
aceleraste	aceleraréis
apareciste	apareceréis
apoyaste	apoyaréis
asumiste	asumiréis
averiguaste	averiguaréis
bailaste	bailaréis
casaste	casaréis
combatiste	combatiréis
completaste	completaréis
condujiste	conduciréis
consideraste	consideraréis
cooperaste	cooperaréis
desempeñaste	desempeñaréis
destacaste	destacaréis
determinaste	determinaréis
disfrutaste	disfrutaréis
eliminaste	eliminaréis
enfrentaste	enfrentaréis
enseñaste	enseñaréis
estuviste	estaréis
estudiaste	estudiaréis
evitaste	evitaréis
expresaste	expresaréis
facilitaste	facilitaréis
fortaleciste	fortaleceréis
generaste	generaréis
incrementaste	incrementaréis
indicaste	indicaréis
invertiste	invertiréis
llamaste	llamaréis
llegaste	llegaréis
lloraste	lloraréis
moriste	moriréis
obtuviste	obtendréis
ocurriste	ocurriréis
participaste	participaréis
pensaste	pensaréis
permitiste	permitiréis
quedaste	quedaréis
reconociste	reconoceréis
redujiste	reduciréis
relacionaste	relacionaréis
requeriste	requeriréis
sugeriste	sugeriréis
terminaste	terminaréis
trajiste	traeréis
viniste	vendréis
verificaste	verificaréis
viviste	viviréis
