abandonaremos	abandonarán
abriremos	abrirán
aceptaremos	aceptarán
agradeceremos	agradecerán
asistiremos	asistirán
atraeremos	atraerán
cantaremos	cantarán
combatiremos	combatirán
compartiremos	compartirán
completaremos	completarán
contendremos	contendrán
convertiremos	convertirán
daremos	darán
decidiremos	decidirán
diremos	dirán
dependeremos	dependerán
enviaremos	enviarán
escaparemos	escaparán
examinaremos	examinarán
exploraremos	explorarán
fomentaremos	fomentarán
ganaremos	ganarán
gastaremos	gastarán
identificaremos	identificarán
incluiremos	incluirán
incorporaremos	incorporarán
investigaremos	investigarán
leeremos	leerán
llamaremos	llamarán
mediremos	medirán
modificaremos	modificarán
moriremos	morirán
moveremos	moverán
participaremos	participarán
partiremos	partirán
perderemos	perderán
permaneceremos	permanecerán
propondremos	propondrán
publicaremos	publicarán
recibiremos	recibirán
recordaremos	recordarán
requeriremos	requerirán
romperemos	romperán
sacaremos	sacarán
saldremos	saldrán
satisfaremos	satisfarán
seguiremos	seguirán
sentaremos	sentarán
solicitaremos	solicitarán
vendremos	vendrán
