abordó	abordarían
actuó	actuarían
alcanzó	alcanzarían
asistió	asistirían
avanzó	avanzarían
ayudó	ayudarían
cambió	cambiarían
caminó	caminarían
causó	causarían
celebró	celebrarían
compró	comprarían
condujo	conducirían
consideró	considerarían
construyó	construirían
continuó	continuarían
dio	darían
demostró	demostrarían
describió	describirían
desempeñó	desempeñarían
eliminó	eliminarían
entendió	entenderían
entró	entrarían
envió	enviarían
escapó	escaparían
evadió	evadirían
evitó	evitarían
explicó	explicarían
firmó	firmarían
ganó	ganarían
inició	iniciarían
integró	integrarían
llevó	llevarían
logró	lograrían
luchó	lucharían
murió	morirían
movió	moverían
ocurrió	ocurrirían
participó	participarían
perdió	perderían
produjo	producirían
promocionó	promocionarían
recordó	recordarían
redujo	reducirían
salió	saldrían
salvó	salvarían
sintió	sentirían
señaló	señalarían
sugirió	sugerirían
vendió	venderían
verificó	verificarían
