abandono	abandonó
actúo	actuó
administro	administró
alcanzo	alcanzó
aprovecho	aprovechó
averiguo	averiguó
añado	añadió
camino	caminó
causo	causó
combato	combatió
consisto	consistió
corro	corrió
decido	decidió
desarrollo	desarrolló
describo	describió
descubro	descubrió
destaco	destacó
destruyo	destruyó
disfruto	disfrutó
enseño	enseñó
escapo	escapó
escribo	escribió
evito	evitó
examino	examinó
fomento	fomentó
formulo	formuló
funciono	funcionó
genero	generó
guardo	guardó
habilito	habilitó
imagino	imaginó
impongo	impuso
informo	informó
integro	integró
intento	intentó
juego	jugó
lloro	lloró
menciono	mencionó
miro	miró
parto	partió
puedo	pudo
propongo	propuso
reemplazo	reemplazó
regreso	regresó
relaciono	relacionó
requiero	requirió
satisfago	satisfizo
sirvo	sirvió
solicito	solicitó
soporto	soportó
