actuó	actuará
alentó	alentará
anunció	anunciará
asumió	asumirá
avanzó	avanzará
cambió	cambiará
celebró	celebrará
completó	completará
comprendió	comprenderá
concluyó	concluirá
condujo	conducirá
consistió	consistirá
controló	controlará
coordinó	coordinará
corrió	correrá
creció	crecerá
cuidó	cuidará
dio	dará
dijo	dirá
definió	definirá
demostró	demostrará
desarrolló	desarrollará
desempeñó	desempeñará
destruyó	destruirá
detuvo	detendrá
elaboró	elaborará
entendió	entenderá
fortaleció	fortalecerá
gastó	gastará
habló	hablará
incluyó	incluirá
llamó	llamará
lloró	llorará
luchó	luchará
operó	operará
paró	parará
produjo	producirá
promocionó	promocionará
protegió	protegerá
realizó	realizará
recogió	recogerá
representó	representará
sacó	sacará
sentó	sentará
sobrevivió	sobrevivirá
solicitó	solicitará
tuvo	tendrá
trabajó	trabajará
trató	tratará
utilizó	utilizará
