abandonaba	abandonaron
abordaba	abordaron
adquiría	adquirieron
ampliaba	ampliaron
atraía	atrajeron
caía	cayeron
completaba	completaron
comprobaba	comprobaron
conseguía	consiguieron
construía	construyeron
crecía	crecieron
decía	dijeron
desarrollaba	desarrollaron
desempeñaba	desempeñaron
destacaba	destacaron
elegía	eligieron
empezaba	empezaron
enfrentaba	enfrentaron
escapaba	escaparon
establecía	establecieron
estaba	estuvieron
examinaba	examinaron
expresaba	expresaron
funcionaba	funcionaron
hablaba	hablaron
impedía	impidieron
incrementaba	incrementaron
iniciaba	iniciaron
integraba	integraron
invertía	invirtieron
llevaba	llevaron
observaba	observaron
oía	oyeron
pasaba	pasaron
permitía	permitieron
probaba	probaron
proveía	proveyeron
recibía	recibieron
refería	refirieron
regresaba	regresaron
respondía	respondieron
señalaba	señalaron
supervisaba	supervisaron
tenía	tuvieron
unía	unieron
usaba	usaron
utilizaba	utilizaron
venía	vinieron
verificaba	verificaron
visitaba	visitaron
