agradecen	agradecería
analizan	analizaría
atienden	atendería
ayudan	ayudaría
casan	casaría
causan	causaría
celebran	celebraría
comparten	compartiría
conducen	conduciría
consideran	consideraría
defienden	defendería
definen	definiría
demuestran	demostraría
escuchan	escucharía
esperan	esperaría
están	estaría
evaden	evadiría
expresan	expresaría
facilitan	facilitaría
fomentan	fomentaría
funcionan	funcionaría
impiden	impediría
imponen	impondría
incrementan	incrementaría
juegan	jugaría
llegan	llegaría
logran	lograría
luchan	lucharía
mantienen	mantendría
matan	mataría
observan	observaría
ocurren	ocurriría
olvidan	olvidaría
operan	operaría
ponen	pondría
preservan	preservaría
quedan	quedaría
realizan	realizaría
reconocen	reconocería
refieren	referiría
revisan	revisaría
roban	robaría
sacan	sacaría
solicitan	solicitaría
sugieren	sugeriría
suman	sumaría
utilizan	utilizaría
ven	vería
viajan	viajaría
votan	votaría
