actué	actuó
anuncié	anunció
aparecí	apareció
aseguré	aseguró
atraje	atrajo
busqué	buscó
canté	cantó
confié	confió
consolidé	consolidó
construí	construyó
convertí	convirtió
creí	creyó
cuidé	cuidó
destruí	destruyó
dormí	durmió
elegí	eligió
esperé	esperó
establecí	estableció
firmé	firmó
formulé	formuló
fortalecí	fortaleció
impliqué	implicó
incluí	incluyó
incrementé	incrementó
inicié	inició
llamé	llamó
localicé	localizó
logré	logró
luché	luchó
mejoré	mejoró
modifiqué	modificó
observé	observó
obtuve	obtuvo
partí	partió
permanecí	permaneció
preparé	preparó
produje	produjo
recuperé	recuperó
reemplacé	reemplazó
revisé	revisó
rompí	rompió
fui	fue
sugerí	sugirió
tuve	tuvo
terminé	terminó
traté	trató
utilicé	utilizó
verifiqué	verificó
visité	visitó
voté	votó
