abríais	abrirían
actuabais	actuarían
analizabais	analizarían
anunciabais	anunciarían
aplicabais	aplicarían
aprobabais	aprobarían
atraíais	atraerían
casabais	casarían
concluíais	concluirían
conducíais	conducirían
confiabais	confiarían
dejabais	dejarían
desempeñabais	desempeñarían
dormíais	dormirían
encontrabais	encontrarían
entrabais	entrarían
escribíais	escribirían
establecíais	establecerían
expresabais	expresarían
facilitabais	facilitarían
gastabais	gastarían
habilitabais	habilitarían
hacíais	harían
imaginabais	imaginarían
incluíais	incluirían
intentabais	intentarían
jugabais	jugarían
leíais	leerían
limitabais	limitarían
llegabais	llegarían
lograbais	lograrían
manejabais	manejarían
mejorabais	mejorarían
mencionabais	mencionarían
moríais	morirían
operabais	operarían
parabais	pararían
perdíais	perderían
probabais	probarían
promocionabais	promocionarían
quedabais	quedarían
relacionabais	relacionarían
requeríais	requerirían
rompíais	romperían
sabíais	sabrían
satisfacíais	satisfarían
terminabais	terminarían
utilizabais	utilizarían
verificabais	verificarían
volabais	volarían
