abordará	abordaremos
acelerará	aceleraremos
aceptará	aceptaremos
anunciará	anunciaremos
apoyará	apoyaremos
ayudará	ayudaremos
añadirá	añadiremos
celebrará	celebraremos
combatirá	combatiremos
compartirá	compartiremos
considerará	consideraremos
contará	contaremos
convertirá	convertiremos
coordinará	coordinaremos
creerá	creeremos
desarrollará	desarrollaremos
designará	designaremos
dormirá	dormiremos
ejercerá	ejerceremos
entrará	entraremos
escapará	escaparemos
estudiará	estudiaremos
evaluará	evaluaremos
explorará	exploraremos
expresará	expresaremos
financiará	financiaremos
identificará	identificaremos
incluirá	incluiremos
informará	informaremos
leerá	leeremos
manejará	manejaremos
matará	mataremos
medirá	mediremos
mostrará	mostraremos
parecerá	pareceremos
partirá	partiremos
perderá	perderemos
prestará	prestaremos
promocionará	promocionaremos
propondrá	propondremos
responderá	responderemos
romperá	romperemos
sabrá	sabremos
seleccionará	seleccionaremos
sentará	sentaremos
será	seremos
soportará	soportaremos
tomará	tomaremos
traerá	traeremos
votará	votaremos
