abordado	abordaste
abierto	abriste
accedido	accediste
adoptado	adoptaste
adquirido	adquiriste
ayudado	ayudaste
buscado	buscaste
casado	casaste
cerrado	cerraste
compartido	compartiste
comprado	compraste
construido	construiste
coordinado	coordinaste
creado	creaste
decidido	decidiste
definido	definiste
descargado	descargaste
determinado	determinaste
dormido	dormiste
enviado	enviaste
escrito	escribiste
estudiado	estudiaste
evaluado	evaluaste
evitado	evitaste
existido	exististe
expresado	expresaste
formulado	formulaste
funcionado	funcionaste
hecho	hiciste
indicado	indicaste
introducido	introdujiste
llorado	lloraste
luchado	luchaste
mantenido	mantuviste
mejorado	mejoraste
mostrado	mostraste
observado	observaste
oído	oíste
parado	paraste
pasado	pasaste
puesto	pusiste
prestado	prestaste
realizado	realizaste
salido	saliste
sido	fuiste
señalado	señalaste
supervisado	supervisaste
trabajado	trabajaste
usado	usaste
visto	viste
