abordas/abordás	abordamos
actúas/actuás	actuamos
adquieres/adquirís	adquirimos
agradeces/agradecés	agradecemos
apruebas/aprobás	aprobamos
aprovechas/aprovechás	aprovechamos
asistes/asistís	asistimos
aumentas/aumentás	aumentamos
avanzas/avanzás	avanzamos
cambias/cambiás	cambiamos
comienzas/comenzás	comenzamos
compras/comprás	compramos
conduces/conducís	conducimos
consolidas/consolidás	consolidamos
continúas/continuás	continuamos
contribuyes/contribuís	contribuimos
coordinas/coordinás	coordinamos
cuidas/cuidás	cuidamos
defines/definís	definimos
dejas/dejás	dejamos
descubres/descubrís	descubrimos
detienes/detenés	detenemos
enseñas/enseñás	enseñamos
evades/evadís	evadimos
gastas/gastás	gastamos
generas/generás	generamos
gestionas/gestionás	gestionamos
guardas/guardás	guardamos
inicias/iniciás	iniciamos
localizas/localizás	localizamos
mejoras/mejorás	mejoramos
observas/observás	observamos
ofreces/ofrecés	ofrecemos
oyes/oís	oímos
partes/partís	partimos
pides/pedís	pedimos
puedes/podés	podemos
previenes/prevenís	prevenimos
pruebas/probás	probamos
propones/proponés	proponemos
quedas/quedás	quedamos
reemplazas/reemplazás	reemplazamos
sales/salís	salimos
sobrevives/sobrevivís	sobrevivimos
terminas/terminás	terminamos
traes/traés	traemos
tratas/tratás	tratamos
unes/unís	unimos
verificas/verificás	verificamos
vuelas/volás	volamos
