adoptar	adoptarían
alentar	alentarían
ampliar	ampliarían
anunciar	anunciarían
caminar	caminarían
confiar	confiarían
considerar	considerarían
consolidar	consolidarían
convertir	convertirían
cooperar	cooperarían
depender	dependerían
describir	describirían
dormir	dormirían
elegir	elegirían
escapar	escaparían
evadir	evadirían
evaluar	evaluarían
fallar	fallarían
formular	formularían
garantizar	garantizarían
gastar	gastarían
generar	generarían
indicar	indicarían
instalar	instalarían
introducir	introducirían
investigar	investigarían
ir	irían
llegar	llegarían
lograr	lograrían
mirar	mirarían
mostrar	mostrarían
observar	observarían
ofrecer	ofrecerían
partir	partirían
pensar	pensarían
perder	perderían
poder	podrían
publicar	publicarían
reconocer	reconocerían
recordar	recordarían
reforzar	reforzarían
representar	representarían
requerir	requerirían
responder	responderían
tocar	tocarían
tomar	tomarían
traer	traerían
tratar	tratarían
usar	usarían
verificar	verificarían
