aceptas/aceptás	aceptábamos
agradeces/agradecés	agradecíamos
alientas/alentás	alentábamos
averiguas/averiguás	averiguábamos
ayudas/ayudás	ayudábamos
buscas/buscás	buscábamos
caes/caés	caíamos
compartes/compartís	compartíamos
compruebas/comprobás	comprobábamos
confirmas/confirmás	confirmábamos
consistes/consistís	consistíamos
cortas/cortás	cortábamos
creas/creás	creábamos
defiendes/defendés	defendíamos
descubres/descubrís	descubríamos
desempeñas/desempeñás	desempeñábamos
escapas/escapás	escapábamos
escribes/escribís	escribíamos
estableces/establecés	establecíamos
existes/existís	existíamos
exploras/explorás	explorábamos
fallas/fallás	fallábamos
fortaleces/fortalecés	fortalecíamos
haces/hacés	hacíamos
identificas/identificás	identificábamos
implicas/implicás	implicábamos
instalas/instalás	instalábamos
intentas/intentás	intentábamos
lees/leés	leíamos
llegas/llegás	llegábamos
llevas/llevás	llevábamos
mueres/morís	moríamos
mueves/movés	movíamos
organizas/organizás	organizábamos
pides/pedís	pedíamos
preguntas/preguntás	preguntábamos
preservas/preservás	preservábamos
previenes/prevenís	preveníamos
promueves/promovés	promovíamos
propones/proponés	proponíamos
proporcionas/proporcionás	proporcionábamos
quedas/quedás	quedábamos
recibes/recibís	recibíamos
reemplazas/reemplazás	reemplazábamos
requieres/requerís	requeríamos
sales/salís	salíamos
eres/sos	éramos
sirves/servís	servíamos
trabajas/trabajás	trabajábamos
ves	veíamos
