abrir	abriste
acelerar	aceleraste
actuar	actuaste
adquirir	adquiriste
atender	atendiste
ayudar	ayudaste
buscar	buscaste
conocer	conociste
conseguir	conseguiste
considerar	consideraste
construir	construiste
consultar	consultaste
continuar	continuaste
cuidar	cuidaste
cumplir	cumpliste
defender	defendiste
definir	definiste
detener	detuviste
dirigir	dirigiste
discutir	discutiste
ejercer	ejerciste
entrar	entraste
evaluar	evaluaste
evitar	evitaste
facilitar	facilitaste
firmar	firmaste
haber	hubiste
integrar	integraste
invertir	invertiste
llegar	llegaste
manejar	manejaste
mostrar	mostraste
observar	observaste
parar	paraste
preparar	preparaste
proporcionar	proporcionaste
publicar	publicaste
reconocer	reconociste
recuperar	recuperaste
reducir	redujiste
reforzar	reforzaste
revisar	revisaste
seleccionar	seleccionaste
ser	fuiste
solicitar	solicitaste
soportar	soportaste
sufrir	sufriste
unir	uniste
vivir	viviste
volver	volviste
