abrimos	abrieron
aceptamos	aceptaron
actuamos	actuaron
alentamos	alentaron
aparecimos	aparecieron
aprobamos	aprobaron
atrajimos	atrajeron
averiguamos	averiguaron
bailamos	bailaron
buscamos	buscaron
celebramos	celebraron
condujimos	condujeron
contamos	contaron
cooperamos	cooperaron
dependimos	dependieron
desarrollamos	desarrollaron
disfrutamos	disfrutaron
ejecutamos	ejecutaron
enviamos	enviaron
escapamos	escaparon
establecimos	establecieron
estuvimos	estuvieron
evitamos	evitaron
expresamos	expresaron
fallamos	fallaron
incorporamos	incorporaron
limpiamos	limpiaron
luchamos	lucharon
matamos	mataron
miramos	miraron
obtuvimos	obtuvieron
olvidamos	olvidaron
pagamos	pagaron
partimos	partieron
pusimos	pusieron
probamos	probaron
produjimos	produjeron
relacionamos	relacionaron
requerimos	requirieron
rompimos	rompieron
supimos	supieron
salvamos	salvaron
satisficimos	satisficieron
seleccionamos	seleccionaron
sobrevivimos	sobrevivieron
sufrimos	sufrieron
superamos	superaron
supervisamos	supervisaron
tomamos	tomaron
tratamos	trataron
