abordar	abordasteis
abrir	abristeis
aprovechar	aprovechasteis
atender	atendisteis
ayudar	ayudasteis
compartir	compartisteis
concluir	concluisteis
confirmar	confirmasteis
conocer	conocisteis
consistir	consististeis
consolidar	consolidasteis
cubrir	cubristeis
definir	definisteis
desarrollar	desarrollasteis
enseñar	enseñasteis
estar	estuvisteis
fomentar	fomentasteis
ganar	ganasteis
imaginar	imaginasteis
impedir	impedisteis
imponer	impusisteis
indicar	indicasteis
informar	informasteis
integrar	integrasteis
intentar	intentasteis
investigar	investigasteis
involucrar	involucrasteis
leer	leísteis
llamar	llamasteis
lograr	lograsteis
morir	moristeis
mostrar	mostrasteis
operar	operasteis
pagar	pagasteis
poner	pusisteis
preservar	preservasteis
producir	produjisteis
publicar	publicasteis
recibir	recibisteis
recoger	recogisteis
reducir	redujisteis
reforzar	reforzasteis
requerir	requeristeis
resolver	resolvisteis
responder	respondisteis
satisfacer	satisficisteis
sobrevivir	sobrevivisteis
tomar	tomasteis
trabajar	trabajasteis
utilizar	utilizasteis
