alcanzando	alcanzará
animando	animará
aumentando	aumentará
avanzando	avanzará
ayudando	ayudará
caminando	caminará
celebrando	celebrará
comprendiendo	comprenderá
considerando	considerará
controlando	controlará
cortando	cortará
creando	creará
creciendo	crecerá
creyendo	creerá
diciendo	dirá
durmiendo	dormirá
elaborando	elaborará
encontrando	encontrará
enviando	enviará
existiendo	existirá
facilitando	facilitará
financiando	financiará
firmando	firmará
habilitando	habilitará
impidiendo	impedirá
indicando	indicará
iniciando	iniciará
instalando	instalará
integrando	integrará
llamando	llamará
llegando	llegará
llevando	llevará
localizando	localizará
manteniendo	mantendrá
ocurriendo	ocurrirá
olvidando	olvidará
permitiendo	permitirá
poniendo	pondrá
quedando	quedará
reconociendo	reconocerá
recuperando	recuperará
reemplazando	reemplazará
relacionando	relacionará
resolviendo	resolverá
sacando	sacará
salvando	salvará
siguiendo	seguirá
sirviendo	servirá
tocando	tocará
uniendo	unirá
