abrieron	abriría
aceptaron	aceptaría
acordaron	acordaría
anunciaron	anunciaría
apoyaron	apoyaría
aseguraron	aseguraría
atrajeron	atraería
cayeron	caería
cambiaron	cambiaría
cantaron	cantaría
casaron	casaría
comenzaron	comenzaría
confiaron	confiaría
consiguieron	conseguiría
consistieron	consistiría
consolidaron	consolidaría
consultaron	consultaría
dieron	daría
defendieron	defendería
definieron	definiría
desarrollaron	desarrollaría
descubrieron	descubriría
discutieron	discutiría
ejecutaron	ejecutaría
estudiaron	estudiaría
evaluaron	evaluaría
facilitaron	facilitaría
fallaron	fallaría
fomentaron	fomentaría
habilitaron	habilitaría
identificaron	identificaría
imaginaron	imaginaría
incluyeron	incluiría
integraron	integraría
intentaron	intentaría
involucraron	involucraría
llamaron	llamaría
localizaron	localizaría
lograron	lograría
ocurrieron	ocurriría
pararon	pararía
participaron	participaría
permanecieron	permanecería
propusieron	propondría
recordaron	recordaría
resolvieron	resolvería
revisaron	revisaría
rompieron	rompería
usaron	usaría
vendieron	vendería
