aceptarán	aceptaríais
acordarán	acordaríais
agradecerán	agradeceríais
ampliarán	ampliaríais
anunciarán	anunciaríais
aplicarán	aplicaríais
asumirán	asumiríais
aumentarán	aumentaríais
añadirán	añadiríais
buscarán	buscaríais
comprobarán	comprobaríais
confiarán	confiaríais
conservarán	conservaríais
contendrán	contendríais
controlarán	controlaríais
decidirán	decidiríais
descargarán	descargaríais
designarán	designaríais
detendrán	detendríais
dirigirán	dirigiríais
disfrutarán	disfrutaríais
ejercerán	ejerceríais
entrarán	entraríais
evadirán	evadiríais
fortalecerán	fortaleceríais
garantizarán	garantizaríais
gestionarán	gestionaríais
habilitarán	habilitaríais
indicarán	indicaríais
integrarán	integraríais
introducirán	introduciríais
limitarán	limitaríais
mostrarán	mostraríais
partirán	partiríais
podrán	podríais
preservarán	preservaríais
producirán	produciríais
promocionarán	promocionaríais
protegerán	protegeríais
quedarán	quedaríais
realizarán	realizaríais
reemplazarán	reemplazaríais
reforzarán	reforzaríais
regresarán	regresaríais
salvarán	salvaríais
sobrevivirán	sobreviviríais
tomarán	tomaríais
trabajarán	trabajaríais
vendrán	vendríais
visitarán	visitaríais
