adquiríamos	adquiristeis
agradecíamos	agradecisteis
asumíamos	asumisteis
atraíamos	atrajisteis
avanzábamos	avanzasteis
buscábamos	buscasteis
compartíamos	compartisteis
confirmábamos	confirmasteis
conseguíamos	conseguisteis
consolidábamos	consolidasteis
construíamos	construisteis
convertíamos	convertisteis
cooperábamos	cooperasteis
cumplíamos	cumplisteis
decíamos	dijisteis
descubríamos	descubristeis
determinábamos	determinasteis
dirigíamos	dirigisteis
encontrábamos	encontrasteis
fallábamos	fallasteis
formábamos	formasteis
funcionábamos	funcionasteis
ganábamos	ganasteis
garantizábamos	garantizasteis
habilitábamos	habilitasteis
informábamos	informasteis
intentábamos	intentasteis
íbamos	fuisteis
llorábamos	llorasteis
luchábamos	luchasteis
organizábamos	organizasteis
perdíamos	perdisteis
preservábamos	preservasteis
probábamos	probasteis
promovíamos	promovisteis
realizábamos	realizasteis
recibíamos	recibisteis
recogíamos	recogisteis
reconocíamos	reconocisteis
referíamos	referisteis
relacionábamos	relacionasteis
resolvíamos	resolvisteis
salvábamos	salvasteis
seguíamos	seguisteis
señalábamos	señalasteis
sufríamos	sufristeis
sugeríamos	sugeristeis
teníamos	tuvisteis
tocábamos	tocasteis
volábamos	volasteis
