acuerdas/acordás	acuerda
alcanzas/alcanzás	alcanza
alientas/alentás	alienta
anuncias/anunciás	anuncia
aseguras/asegurás	asegura
buscas/buscás	busca
caminas/caminás	camina
celebras/celebrás	celebra
comprendes/comprendés	comprende
conoces/conocés	conoce
consideras/considerás	considera
consistes/consistís	consiste
consolidas/consolidás	consolida
contienes/contenés	contiene
crees/creés	cree
das	da
dices/decís	dice
destruyes/destruís	destruye
eliminas/eliminás	elimina
encuentras/encontrás	encuentra
enfrentas/enfrentás	enfrenta
entiendes/entendés	entiende
evades/evadís	evade
examinas/examinás	examina
existes/existís	existe
funcionas/funcionás	funciona
imaginas/imaginás	imagina
incorporas/incorporás	incorpora
indicas/indicás	indica
inicias/iniciás	inicia
integras/integrás	integra
inviertes/invertís	invierte
manejas/manejás	maneja
matas/matás	mata
mejoras/mejorás	mejora
mueres/morís	muere
mueves/movés	mueve
pareces/parecés	parece
prestas/prestás	presta
proporcionas/proporcionás	proporciona
provees/proveés	provee
realizas/realizás	realiza
representas/representás	representa
sales/salís	sale
satisfaces/satisfacés	satisface
sirves/servís	sirve
usas/usás	usa
vienes/venís	viene
ves	ve
vuelves/volvés	vuelve
