administraban	administraríamos
adquirían	adquiriríamos
alcanzaban	alcanzaríamos
alentaban	alentaríamos
animaban	animaríamos
aplicaban	aplicaríamos
apoyaban	apoyaríamos
atraían	atraeríamos
aumentaban	aumentaríamos
avanzaban	avanzaríamos
casaban	casaríamos
combatían	combatiríamos
comenzaban	comenzaríamos
comprendían	comprenderíamos
contenían	contendríamos
controlaban	controlaríamos
cooperaban	cooperaríamos
creían	creeríamos
descargaban	descargaríamos
describían	describiríamos
descubrían	descubriríamos
dirigían	dirigiríamos
dormían	dormiríamos
ejecutaban	ejecutaríamos
escribían	escribiríamos
estaban	estaríamos
existían	existiríamos
expresaban	expresaríamos
facilitaban	facilitaríamos
formulaban	formularíamos
habían	habríamos
hacían	haríamos
miraban	miraríamos
movían	moveríamos
pagaban	pagaríamos
pensaban	pensaríamos
prestaban	prestaríamos
probaban	probaríamos
proveían	proveeríamos
realizaban	realizaríamos
recogían	recogeríamos
representaban	representaríamos
respetaban	respetaríamos
respondían	responderíamos
sufrían	sufriríamos
tenían	tendríamos
tocaban	tocaríamos
venían	vendríamos
veían	veríamos
volvían	volveríamos
