abordaron	abordarán
aceptaron	aceptarán
acordaron	acordarán
administraron	administrarán
agradecieron	agradecerán
anunciaron	anunciarán
apoyaron	apoyarán
aprovecharon	aprovecharán
aumentaron	aumentarán
añadieron	añadirán
combatieron	combatirán
comprendieron	comprenderán
confirmaron	confirmarán
contribuyeron	contribuirán
creyeron	creerán
definieron	definirán
dejaron	dejarán
descargaron	descargarán
designaron	designarán
encontraron	encontrarán
escaparon	escaparán
estuvieron	estarán
examinaron	examinarán
explicaron	explicarán
expresaron	expresarán
financiaron	financiarán
firmaron	firmarán
ganaron	ganarán
garantizaron	garantizarán
hubieron	habrán
informaron	informarán
introdujeron	introducirán
fueron	irán
jugaron	jugarán
limitaron	limitarán
lograron	lograrán
murieron	morirán
ofrecieron	ofrecerán
pagaron	pagarán
pidieron	pedirán
prepararon	prepararán
proveyeron	proveerán
salieron	saldrán
fueron	serán
señalaron	señalarán
terminaron	terminarán
tomaron	tomarán
trabajaron	trabajarán
viajaron	viajarán
vivieron	vivirán
