agradecen	agradecía
analizan	analizaba
aprovechan	aprovechaba
asumen	asumía
bailan	bailaba
beben	bebía
cantan	cantaba
causan	causaba
confirman	confirmaba
consultan	consultaba
cooperan	cooperaba
corren	corría
descargan	descargaba
desempeñan	desempeñaba
designan	designaba
dirigen	dirigía
disfrutan	disfrutaba
empiezan	empezaba
evaden	evadía
garantizan	garantizaba
gestionan	gestionaba
habilitan	habilitaba
hablan	hablaba
hacen	hacía
imponen	imponía
incluyen	incluía
incrementan	incrementaba
indican	indicaba
van	iba
juegan	jugaba
llaman	llamaba
matan	mataba
modifican	modificaba
mueren	moría
observan	observaba
paran	paraba
pierden	perdía
preservan	preservaba
previenen	prevenía
promueven	promovía
proponen	proponía
representan	representaba
responden	respondía
salen	salía
señalan	señalaba
solicitan	solicitaba
soportan	soportaba
terminan	terminaba
tocan	tocaba
visitan	visitaba
