accede	accedisteis
anuncia	anunciasteis
aparece	aparecisteis
ayuda	ayudasteis
busca	buscasteis
completa	completasteis
considera	considerasteis
consiste	consististeis
controla	controlasteis
crece	crecisteis
decide	decidisteis
dice	dijisteis
define	definisteis
destruye	destruisteis
duerme	dormisteis
ejerce	ejercisteis
elabora	elaborasteis
elige	elegisteis
escucha	escuchasteis
evita	evitasteis
facilita	facilitasteis
fortalece	fortalecisteis
ha	hubisteis
habilita	habilitasteis
impone	impusisteis
introduce	introdujisteis
lleva	llevasteis
localiza	localizasteis
lucha	luchasteis
mata	matasteis
mejora	mejorasteis
modifica	modificasteis
muestra	mostrasteis
parece	parecisteis
permanece	permanecisteis
puede	pudisteis
pregunta	preguntasteis
prepara	preparasteis
presta	prestasteis
prueba	probasteis
produce	produjisteis
proporciona	proporcionasteis
reconoce	reconocisteis
relaciona	relacionasteis
representa	representasteis
sale	salisteis
sigue	seguisteis
suma	sumasteis
termina	terminasteis
une	unisteis
