abrías	abrirías
acelerabas	acelerarías
animabas	animarías
aprendías	aprenderías
asegurabas	asegurarías
atendías	atenderías
avanzabas	avanzarías
completabas	completarías
comprobabas	comprobarías
conducías	conducirías
confirmabas	confirmarías
conocías	conocerías
consistías	consistirías
contabas	contarías
contribuías	contribuirías
controlabas	controlarías
crecías	crecerías
describías	describirías
detenías	detendrías
dirigías	dirigirías
elegías	elegirías
esperabas	esperarías
estudiabas	estudiarías
gestionabas	gestionarías
habilitabas	habilitarías
instalabas	instalarías
integrabas	integrarías
invertías	invertirías
llegabas	llegarías
lograbas	lograrías
modificabas	modificarías
operabas	operarías
pagabas	pagarías
participabas	participarías
pensabas	pensarías
ponías	pondrías
preguntabas	preguntarías
probabas	probarías
recibías	recibirías
regresabas	regresarías
sabías	sabrías
sacabas	sacarías
salvabas	salvarías
sentías	sentirías
señalabas	señalarías
solicitabas	solicitarías
tenías	tendrías
vendías	venderías
visitabas	visitarías
votabas	votarías
