aceleran	aceleraban
amplían	ampliaban
aprovechan	aprovechaban
atienden	atendían
causan	causaban
celebran	celebraban
cierran	cerraban
comparten	compartían
compran	compraban
comprueban	comprobaban
conocen	conocían
consolidan	consolidaban
cubren	cubrían
dan	daban
deciden	decidían
descargan	descargaban
describen	describían
determinan	determinaban
escuchan	escuchaban
esperan	esperaban
evaden	evadían
existen	existían
expresan	expresaban
fallan	fallaban
fortalecen	fortalecían
ganan	ganaban
garantizan	garantizaban
gestionan	gestionaban
intentan	intentaban
limitan	limitaban
mantienen	mantenían
matan	mataban
miden	medían
mejoran	mejoraban
necesitan	necesitaban
observan	observaban
ponen	ponían
preservan	preservaban
reconocen	reconocían
requieren	requerían
resuelven	resolvían
salen	salían
salvan	salvaban
seleccionan	seleccionaban
traen	traían
tratan	trataban
usan	usaban
ven	veían
viajan	viajaban
viven	vivían
