abre	abrieron
acuerda	acordaron
agradece	agradecieron
anuncia	anunciaron
aprueba	aprobaron
averigua	averiguaron
bebe	bebieron
busca	buscaron
cambia	cambiaron
casa	casaron
comparte	compartieron
confía	confiaron
consigue	consiguieron
construye	construyeron
deja	dejaron
depende	dependieron
detiene	detuvieron
elige	eligieron
escribe	escribieron
estudia	estudiaron
explica	explicaron
implica	implicaron
inicia	iniciaron
va	fueron
limita	limitaron
maneja	manejaron
mantiene	mantuvieron
mata	mataron
mejora	mejoraron
muere	murieron
mueve	movieron
obtiene	obtuvieron
olvida	olvidaron
oye	oyeron
para	pararon
participa	participaron
pasa	pasaron
prepara	prepararon
promueve	promovieron
recuerda	recordaron
recupera	recuperaron
reduce	redujeron
refuerza	reforzaron
revisa	revisaron
satisface	satisficieron
es	fueron
señala	señalaron
utiliza	utilizaron
viaja	viajaron
visita	visitaron
