actuaban	actuarán
alentaban	alentarán
analizaban	analizarán
animaban	animarán
anunciaban	anunciarán
aplicaban	aplicarán
aprendían	aprenderán
celebraban	celebrarán
combatían	combatirán
conservaban	conservarán
contribuían	contribuirán
cooperaban	cooperarán
crecían	crecerán
detenían	detendrán
dormían	dormirán
ejecutaban	ejecutarán
elaboraban	elaborarán
elegían	elegirán
empezaban	empezarán
escribían	escribirán
facilitaban	facilitarán
garantizaban	garantizarán
incluían	incluirán
indicaban	indicarán
integraban	integrarán
invertían	invertirán
iban	irán
jugaban	jugarán
limitaban	limitarán
limpiaban	limpiarán
lloraban	llorarán
manejaban	manejarán
operaban	operarán
organizaban	organizarán
pedían	pedirán
permitían	permitirán
ponían	pondrán
preservaban	preservarán
prestaban	prestarán
producían	producirán
publicaban	publicarán
recordaban	recordarán
relacionaban	relacionarán
representaban	representarán
respondían	responderán
robaban	robarán
seguían	seguirán
unían	unirán
venían	vendrán
visitaban	visitarán
