abrían	abrirán
accedían	accederán
alentaban	alentarán
ampliaban	ampliarán
aparecían	aparecerán
aprovechaban	aprovecharán
buscaban	buscarán
caían	caerán
cambiaban	cambiarán
cantaban	cantarán
comenzaban	comenzarán
contaban	contarán
contenían	contendrán
continuaban	continuarán
coordinaban	coordinarán
creaban	crearán
crecían	crecerán
creían	creerán
decidían	decidirán
decían	dirán
definían	definirán
dejaban	dejarán
dirigían	dirigirán
eliminaban	eliminarán
empezaban	empezarán
entendían	entenderán
escapaban	escaparán
examinaban	examinarán
existían	existirán
fomentaban	fomentarán
fortalecían	fortalecerán
gastaban	gastarán
hablaban	hablarán
limitaban	limitarán
llamaban	llamarán
mantenían	mantendrán
mencionaban	mencionarán
observaban	observarán
pagaban	pagarán
parecían	parecerán
pasaban	pasarán
promocionaban	promocionarán
recogían	recogerán
reconocían	reconocerán
reforzaban	reforzarán
sentaban	sentarán
sobrevivían	sobrevivirán
superaban	superarán
tomaban	tomarán
votaban	votarán
