alcanzaba	alcanzarían
animaba	animarían
apoyaba	apoyarían
atraía	atraerían
averiguaba	averiguarían
casaba	casarían
comenzaba	comenzarían
compartía	compartirían
conducía	conducirían
continuaba	continuarían
cooperaba	cooperarían
crecía	crecerían
cumplía	cumplirían
desarrollaba	desarrollarían
describía	describirían
destacaba	destacarían
detenía	detendrían
dirigía	dirigirían
disfrutaba	disfrutarían
ejercía	ejercerían
entraba	entrarían
esperaba	esperarían
estaba	estarían
evadía	evadirían
evitaba	evitarían
fallaba	fallarían
garantizaba	garantizarían
identificaba	identificarían
indicaba	indicarían
involucraba	involucrarían
limitaba	limitarían
lograba	lograrían
medía	medirían
mencionaba	mencionarían
moría	morirían
necesitaba	necesitarían
pagaba	pagarían
participaba	participarían
pasaba	pasarían
pensaba	pensarían
permanecía	permanecerían
protegía	protegerían
recordaba	recordarían
representaba	representarían
respetaba	respetarían
servía	servirían
sobrevivía	sobrevivirían
solicitaba	solicitarían
tenía	tendrían
trabajaba	trabajarían
