ampliaba	ampliará
aprovechaba	aprovechará
aseguraba	asegurará
atendía	atenderá
aumentaba	aumentará
combatía	combatirá
comprobaba	comprobará
conducía	conducirá
conocía	conocerá
conseguía	conseguirá
contaba	contará
continuaba	continuará
convertía	convertirá
coordinaba	coordinará
cortaba	cortará
cumplía	cumplirá
disfrutaba	disfrutará
elaboraba	elaborará
enviaba	enviará
estaba	estará
evaluaba	evaluará
evitaba	evitará
exploraba	explorará
fallaba	fallará
fomentaba	fomentará
formulaba	formulará
garantizaba	garantizará
habilitaba	habilitará
hablaba	hablará
incluía	incluirá
investigaba	investigará
iba	irá
llamaba	llamará
llevaba	llevará
lograba	logrará
manejaba	manejará
mantenía	mantendrá
ocurría	ocurrirá
ofrecía	ofrecerá
paraba	parará
pedía	pedirá
recogía	recogerá
requería	requerirá
respetaba	respetará
respondía	responderá
revisaba	revisará
rompía	romperá
sentía	sentirá
tomaba	tomará
vendía	venderá
