abandono	abandonaría
accedo	accedería
acelero	aceleraría
actúo	actuaría
adquiero	adquiriría
analizo	analizaría
averiguo	averiguaría
ayudo	ayudaría
caigo	caería
caso	casaría
combato	combatiría
comparto	compartiría
consolido	consolidaría
construyo	construiría
consulto	consultaría
controlo	controlaría
dependo	dependería
dirijo	dirigiría
elaboro	elaboraría
elijo	elegiría
empiezo	empezaría
escucho	escucharía
fomento	fomentaría
formulo	formularía
gano	ganaría
gestiono	gestionaría
incremento	incrementaría
introduzco	introduciría
juego	jugaría
limpio	limpiaría
llamo	llamaría
localizo	localizaría
mido	mediría
modifico	modificaría
ocurro	ocurriría
pago	pagaría
participo	participaría
prevengo	prevendría
promociono	promocionaría
represento	representaría
resuelvo	resolvería
respondo	respondería
selecciono	seleccionaría
señalo	señalaría
sufro	sufriría
sugiero	sugeriría
sumo	sumaría
superviso	supervisaría
tomo	tomaría
trato	trataría
