aceleró	aceleramos
administró	administramos
adquirió	adquirimos
alcanzó	alcanzamos
amplió	ampliamos
asumió	asumimos
cantó	cantamos
celebró	celebramos
comenzó	comenzamos
comió	comimos
completó	completamos
comprobó	comprobamos
condujo	condujimos
conservó	conservamos
consistió	consistimos
contó	contamos
corrió	corrimos
cortó	cortamos
cubrió	cubrimos
cumplió	cumplimos
disfrutó	disfrutamos
durmió	dormimos
encontró	encontramos
envió	enviamos
escapó	escapamos
evaluó	evaluamos
examinó	examinamos
explicó	explicamos
guardó	guardamos
habló	hablamos
hizo	hicimos
identificó	identificamos
incorporó	incorporamos
informó	informamos
limitó	limitamos
llamó	llamamos
logró	logramos
olvidó	olvidamos
paró	paramos
presentó	presentamos
propuso	propusimos
refirió	referimos
representó	representamos
robó	robamos
supo	supimos
sacó	sacamos
salvó	salvamos
solicitó	solicitamos
terminó	terminamos
volvió	volvimos
