accedimos	accederían
adoptamos	adoptarían
animamos	animarían
anunciamos	anunciarían
aprobamos	aprobarían
ayudamos	ayudarían
bebimos	beberían
cantamos	cantarían
combatimos	combatirían
comenzamos	comenzarían
confirmamos	confirmarían
conocimos	conocerían
construimos	construirían
convertimos	convertirían
cooperamos	cooperarían
decidimos	decidirían
definimos	definirían
dejamos	dejarían
empezamos	empezarían
escuchamos	escucharían
esperamos	esperarían
establecimos	establecerían
expresamos	expresarían
ganamos	ganarían
generamos	generarían
integramos	integrarían
introdujimos	introducirían
jugamos	jugarían
llamamos	llamarían
llevamos	llevarían
medimos	medirían
mostramos	mostrarían
organizamos	organizarían
oímos	oirían
pudimos	podrían
preguntamos	preguntarían
preparamos	prepararían
presentamos	presentarían
probamos	probarían
publicamos	publicarían
recibimos	recibirían
reconocimos	reconocerían
respondimos	responderían
rompimos	romperían
sobrevivimos	sobrevivirían
tocamos	tocarían
tratamos	tratarían
unimos	unirían
vendimos	venderían
volvimos	volverían
