accedo	accedían
acepto	aceptaban
alcanzo	alcanzaban
aprendo	aprendían
averiguo	averiguaban
añado	añadían
caigo	caían
caso	casaban
confirmo	confirmaban
consulto	consultaban
cuento	contaban
contengo	contenían
creo	creaban
cumplo	cumplían
demuestro	demostraban
designo	designaban
detengo	detenían
ejerzo	ejercían
estoy	estaban
formulo	formulaban
funciono	funcionaban
gano	ganaban
genero	generaban
identifico	identificaban
imagino	imaginaban
incremento	incrementaban
involucro	involucraban
llamo	llamaban
llego	llegaban
manejo	manejaban
mantengo	mantenían
modifico	modificaban
ofrezco	ofrecían
pago	pagaban
paro	paraban
participo	participaban
pierdo	perdían
pregunto	preguntaban
produzco	producían
reconozco	reconocían
requiero	requerían
satisfago	satisfacían
sigo	seguían
sirvo	servían
soporto	soportaban
sugiero	sugerían
tomo	tomaban
uso	usaban
vengo	venían
vuelvo	volvían
