aplicamos	aplicaríais
apoyamos	apoyaríais
aprovechamos	aprovecharíais
asistimos	asistiríais
atendemos	atenderíais
aumentamos	aumentaríais
caemos	caeríais
caminamos	caminaríais
causamos	causaríais
celebramos	celebraríais
comemos	comeríais
compramos	compraríais
comprobamos	comprobaríais
conocemos	conoceríais
consistimos	consistiríais
damos	daríais
dejamos	dejaríais
dirigimos	dirigiríais
discutimos	discutiríais
disfrutamos	disfrutaríais
ejecutamos	ejecutaríais
ejercemos	ejerceríais
esperamos	esperaríais
existimos	existiríais
facilitamos	facilitaríais
fallamos	fallaríais
financiamos	financiaríais
formulamos	formularíais
fortalecemos	fortaleceríais
hacemos	haríais
imaginamos	imaginaríais
modificamos	modificaríais
olvidamos	olvidaríais
parecemos	pareceríais
participamos	participaríais
permanecemos	permaneceríais
proporcionamos	proporcionaríais
quedamos	quedaríais
realizamos	realizaríais
representamos	representaríais
respondemos	responderíais
salvamos	salvaríais
seguimos	seguiríais
sentimos	sentiríais
servimos	serviríais
señalamos	señalaríais
soportamos	soportaríais
superamos	superaríais
utilizamos	utilizaríais
viajamos	viajaríais
