abandona	abandonarás
acelera	acelerarás
adquiere	adquirirás
anima	animarás
aprende	aprenderás
aprovecha	aprovecharás
asiste	asistirás
atiende	atenderás
atrae	atraerás
baila	bailarás
cae	caerás
camina	caminarás
comienza	comenzarás
come	comerás
continúa	continuarás
coopera	cooperarás
coordina	coordinarás
crea	crearás
crece	crecerás
cumple	cumplirás
determina	determinarás
elimina	eliminarás
envía	enviarás
explica	explicarás
forma	formarás
formula	formularás
ha	habrás
imagina	imaginarás
impide	impedirás
incluye	incluirás
va	irás
maneja	manejarás
piensa	pensarás
permite	permitirás
pone	pondrás
pregunta	preguntarás
presta	prestarás
propone	propondrás
protege	protegerás
queda	quedarás
representa	representarás
requiere	requerirás
resuelve	resolverás
revisa	revisarás
saca	sacarás
sienta	sentarás
siente	sentirás
es	serás
suma	sumarás
ve	verás
