accediendo	accedí
alcanzando	alcancé
alentando	alenté
ampliando	amplié
animando	animé
anunciando	anuncié
aprendiendo	aprendí
aprobando	aprobé
aprovechando	aproveché
atrayendo	atraje
consultando	consulté
convirtiendo	convertí
cooperando	cooperé
corriendo	corrí
dando	di
designando	designé
ejecutando	ejecuté
elaborando	elaboré
eliminando	eliminé
empezando	empecé
enseñando	enseñé
estudiando	estudié
evadiendo	evadí
generando	generé
guardando	guardé
imponiendo	impuse
involucrando	involucré
leyendo	leí
manejando	manejé
manteniendo	mantuve
midiendo	medí
mejorando	mejoré
mirando	miré
necesitando	necesité
pareciendo	parecí
perdiendo	perdí
previniendo	previne
protegiendo	protegí
regresando	regresé
sabiendo	supe
saliendo	salí
siguiendo	seguí
sentando	senté
sintiendo	sentí
sugiriendo	sugerí
tocando	toqué
tratando	traté
usando	usé
vendiendo	vendí
viniendo	vine
