actúo	actuábamos
administro	administrábamos
agradezco	agradecíamos
amplío	ampliábamos
aseguro	asegurábamos
atiendo	atendíamos
añado	añadíamos
comienzo	comenzábamos
consigo	conseguíamos
consolido	consolidábamos
cubro	cubríamos
doy	dábamos
dependo	dependíamos
desarrollo	desarrollábamos
ejerzo	ejercíamos
escribo	escribíamos
explico	explicábamos
expreso	expresábamos
gestiono	gestionábamos
identifico	identificábamos
impongo	imponíamos
instalo	instalábamos
integro	integrábamos
involucro	involucrábamos
llego	llegábamos
llevo	llevábamos
lloro	llorábamos
manejo	manejábamos
mantengo	manteníamos
menciono	mencionábamos
modifico	modificábamos
olvido	olvidábamos
oigo	oíamos
permanezco	permanecíamos
puedo	podíamos
presto	prestábamos
propongo	proponíamos
proveo	proveíamos
recibo	recibíamos
reconozco	reconocíamos
regreso	regresábamos
salgo	salíamos
salvo	salvábamos
sigo	seguíamos
siento	sentábamos
traigo	traíamos
uno	uníamos
uso	usábamos
viajo	viajábamos
vuelvo	volvíamos
