acelerado	acelerarías
aceptado	aceptarías
administrado	administrarías
adquirido	adquirirías
alcanzado	alcanzarías
anunciado	anunciarías
aparecido	aparecerías
asegurado	asegurarías
asistido	asistirías
causado	causarías
celebrado	celebrarías
cerrado	cerrarías
convertido	convertirías
detenido	detendrías
discutido	discutirías
ejercido	ejercerías
elaborado	elaborarías
encontrado	encontrarías
evitado	evitarías
existido	existirías
garantizado	garantizarías
gastado	gastarías
guardado	guardarías
impedido	impedirías
incluido	incluirías
investigado	investigarías
jugado	jugarías
muerto	morirías
mostrado	mostrarías
obtenido	obtendrías
pagado,pago	pagarías
participado	participarías
pedido	pedirías
permitido	permitirías
promocionado	promocionarías
propuesto	propondrías
proveído,provisto	proveerías
reconocido	reconocerías
reforzado	reforzarías
requerido	requerirías
respetado	respetarías
revisado	revisarías
robado	robarías
seguido	seguirías
sido	serías
señalado	señalarías
solicitado	solicitarías
tocado	tocarías
traído	traerías
tratado	tratarías
