abordando	abordarás
abriendo	abrirás
acelerando	acelerarás
aceptando	aceptarás
adoptando	adoptarás
aplicando	aplicarás
asegurando	asegurarás
atrayendo	atraerás
cayendo	caerás
cambiando	cambiarás
compartiendo	compartirás
comprendiendo	comprenderás
comprobando	comprobarás
confiando	confiarás
construyendo	construirás
contando	contarás
convirtiendo	convertirás
corriendo	correrás
cuidando	cuidarás
dando	darás
diciendo	dirás
definiendo	definirás
describiendo	describirás
descubriendo	descubrirás
dirigiendo	dirigirás
ejerciendo	ejercerás
enfrentando	enfrentarás
entendiendo	entenderás
escapando	escaparás
formulando	formularás
fortaleciendo	fortalecerás
funcionando	funcionarás
garantizando	garantizarás
incorporando	incorporarás
incrementando	incrementarás
intentando	intentarás
investigando	investigarás
limpiando	limpiarás
localizando	localizarás
manejando	manejarás
mejorando	mejorarás
mirando	mirarás
necesitando	necesitarás
parando	pararás
promocionando	promocionarás
publicando	publicarás
respondiendo	responderás
satisfaciendo	satisfarás
superando	superarás
terminando	terminarás
