acordasteis	acordarán
alentasteis	alentarán
animasteis	animarán
aparecisteis	aparecerán
apoyasteis	apoyarán
aprobasteis	aprobarán
asegurasteis	asegurarán
aumentasteis	aumentarán
añadisteis	añadirán
bebisteis	beberán
cambiasteis	cambiarán
comisteis	comerán
compartisteis	compartirán
concluisteis	concluirán
creísteis	creerán
definisteis	definirán
dependisteis	dependerán
desarrollasteis	desarrollarán
descargasteis	descargarán
describisteis	describirán
descubristeis	descubrirán
desempeñasteis	desempeñarán
designasteis	designarán
discutisteis	discutirán
ejercisteis	ejercerán
escuchasteis	escucharán
esperasteis	esperarán
evitasteis	evitarán
financiasteis	financiarán
firmasteis	firmarán
fomentasteis	fomentarán
formulasteis	formularán
fortalecisteis	fortalecerán
indicasteis	indicarán
iniciasteis	iniciarán
fuisteis	irán
jugasteis	jugarán
llegasteis	llegarán
llevasteis	llevarán
partisteis	partirán
pensasteis	pensarán
pusisteis	pondrán
previnisteis	prevendrán
realizasteis	realizarán
reemplazasteis	reemplazarán
supisteis	sabrán
sentisteis	sentirán
sobrevivisteis	sobrevivirán
unisteis	unirán
usasteis	usarán
