abriendo	abrieron
accediendo	accedieron
actuando	actuaron
aumentando	aumentaron
averiguando	averiguaron
ayudando	ayudaron
compartiendo	compartieron
comprando	compraron
confiando	confiaron
convirtiendo	convirtieron
corriendo	corrieron
decidiendo	decidieron
definiendo	definieron
dependiendo	dependieron
descargando	descargaron
descubriendo	descubrieron
deteniendo	detuvieron
dirigiendo	dirigieron
durmiendo	durmieron
eligiendo	eligieron
eliminando	eliminaron
entrando	entraron
escribiendo	escribieron
esperando	esperaron
fallando	fallaron
financiando	financiaron
garantizando	garantizaron
incluyendo	incluyeron
informando	informaron
integrando	integraron
introduciendo	introdujeron
involucrando	involucraron
leyendo	leyeron
limpiando	limpiaron
llegando	llegaron
llevando	llevaron
presentando	presentaron
promocionando	promocionaron
promoviendo	promovieron
recibiendo	recibieron
recogiendo	recogieron
regresando	regresaron
representando	representaron
rompiendo	rompieron
siguiendo	siguieron
sintiendo	sintieron
siendo	fueron
superando	superaron
trayendo	trajeron
tratando	trataron
