actuabais	actuarás
adoptabais	adoptarás
aprovechabais	aprovecharás
asistíais	asistirás
aumentabais	aumentarás
avanzabais	avanzarás
cerrabais	cerrarás
comprobabais	comprobarás
concluíais	concluirás
confiabais	confiarás
conseguíais	conseguirás
construíais	construirás
cooperabais	cooperarás
creabais	crearás
decíais	dirás
defendíais	defenderás
desarrollabais	desarrollarás
designabais	designarás
dormíais	dormirás
ejercíais	ejercerás
expresabais	expresarás
formabais	formarás
garantizabais	garantizarás
gastabais	gastarás
generabais	generarás
guardabais	guardarás
habíais	habrás
habilitabais	habilitarás
impedíais	impedirás
informabais	informarás
introducíais	introducirás
invertíais	invertirás
llegabais	llegarás
matabais	matarás
pedíais	pedirás
podíais	podrás
promovíais	promoverás
publicabais	publicarás
reforzabais	reforzarás
rompíais	romperás
sacabais	sacarás
erais	serás
señalabais	señalarás
sobrevivíais	sobrevivirás
soportabais	soportarás
sufríais	sufrirás
terminabais	terminarás
tomabais	tomarás
tratabais	tratarás
usabais	usarás
