abordaba	abordarás
accedía	accederás
aceptaba	aceptarás
administraba	administrarás
aseguraba	asegurarás
averiguaba	averiguarás
ayudaba	ayudarás
conservaba	conservarás
consolidaba	consolidarás
creaba	crearás
crecía	crecerás
cubría	cubrirás
daba	darás
demostraba	demostrarás
descargaba	descargarás
destacaba	destacarás
elegía	elegirás
empezaba	empezarás
enviaba	enviarás
explicaba	explicarás
facilitaba	facilitarás
financiaba	financiarás
formaba	formarás
ganaba	ganarás
generaba	generarás
hablaba	hablarás
imponía	impondrás
informaba	informarás
instalaba	instalarás
localizaba	localizarás
mostraba	mostrarás
necesitaba	necesitarás
pagaba	pagarás
partía	partirás
pasaba	pasarás
pensaba	pensarás
permitía	permitirás
presentaba	presentarás
probaba	probarás
promovía	promoverás
refería	referirás
relacionaba	relacionarás
respetaba	respetarás
rompía	romperás
seguía	seguirás
señalaba	señalarás
tomaba	tomarás
usaba	usarás
viajaba	viajarás
votaba	votarás
