abordaba	abordarías
actuaba	actuarías
alcanzaba	alcanzarías
ampliaba	ampliarías
aparecía	aparecerías
aprendía	aprenderías
atendía	atenderías
aumentaba	aumentarías
avanzaba	avanzarías
bailaba	bailarías
caía	caerías
causaba	causarías
cerraba	cerrarías
compraba	comprarías
comprendía	comprenderías
continuaba	continuarías
creía	creerías
cuidaba	cuidarías
definía	definirías
dependía	dependerías
descargaba	descargarías
describía	describirías
designaba	designarías
estaba	estarías
estudiaba	estudiarías
evaluaba	evaluarías
evitaba	evitarías
existía	existirías
explicaba	explicarías
funcionaba	funcionarías
imponía	impondrías
indicaba	indicarías
iniciaba	iniciarías
jugaba	jugarías
llegaba	llegarías
manejaba	manejarías
operaba	operarías
partía	partirías
promovía	promoverías
quedaba	quedarías
reconocía	reconocerías
relacionaba	relacionarías
requería	requerirías
seleccionaba	seleccionarías
sobrevivía	sobrevivirías
sufría	sufrirías
supervisaba	supervisarías
traía	traerías
venía	vendrías
vivía	vivirías
