accedido	accederían
adquirido	adquirirían
alentado	alentarían
ampliado	ampliarían
aparecido	aparecerían
bebido	beberían
conocido	conocerían
conservado	conservarían
consolidado	consolidarían
contenido	contendrían
descargado	descargarían
ejecutado	ejecutarían
eliminado	eliminarían
escapado	escaparían
escuchado	escucharían
estudiado	estudiarían
evaluado	evaluarían
examinado	examinarían
expresado	expresarían
facilitado	facilitarían
indicado	indicarían
investigado	investigarían
leído	leerían
luchado	lucharían
matado	matarían
medido	medirían
observado	observarían
oído	oirían
pagado,pago	pagarían
parado	pararían
pasado	pasarían
permitido	permitirían
preservado	preservarían
probado	probarían
reducido	reducirían
relacionado	relacionarían
roto	romperían
sacado	sacarían
salvado	salvarían
satisfecho	satisfarían
sido	serían
sufrido	sufrirían
supervisado	supervisarían
terminado	terminarían
utilizado	utilizarían
viajado	viajarían
visitado	visitarían
vivido	vivirían
volado	volarían
vuelto	volverían
