administraban	administraremos
alcanzaban	alcanzaremos
analizaban	analizaremos
aparecían	apareceremos
apoyaban	apoyaremos
aseguraban	aseguraremos
atraían	atraeremos
bebían	beberemos
cerraban	cerraremos
compartían	compartiremos
completaban	completaremos
comprobaban	comprobaremos
confirmaban	confirmaremos
conocían	conoceremos
continuaban	continuaremos
coordinaban	coordinaremos
crecían	creceremos
creían	creeremos
definían	definiremos
describían	describiremos
desempeñaban	desempeñaremos
detenían	detendremos
escapaban	escaparemos
estaban	estaremos
firmaban	firmaremos
fortalecían	fortaleceremos
implicaban	implicaremos
iniciaban	iniciaremos
introducían	introduciremos
iban	iremos
jugaban	jugaremos
limpiaban	limpiaremos
localizaban	localizaremos
luchaban	lucharemos
mantenían	mantendremos
mostraban	mostraremos
organizaban	organizaremos
oían	oiremos
pagaban	pagaremos
participaban	participaremos
prestaban	prestaremos
producían	produciremos
proporcionaban	proporcionaremos
requerían	requeriremos
robaban	robaremos
rompían	romperemos
seleccionaban	seleccionaremos
sumaban	sumaremos
trabajaban	trabajaremos
usaban	usaremos
