adoptaba	adoptaríais
aprobaba	aprobaríais
cantaba	cantaríais
cerraba	cerraríais
comenzaba	comenzaríais
compartía	compartiríais
concluía	concluiríais
controlaba	controlaríais
convertía	convertiríais
decidía	decidiríais
dependía	dependeríais
describía	describiríais
descubría	descubriríais
dirigía	dirigiríais
dormía	dormiríais
enseñaba	enseñaríais
evitaba	evitaríais
firmaba	firmaríais
fomentaba	fomentaríais
fortalecía	fortaleceríais
funcionaba	funcionaríais
ganaba	ganaríais
habilitaba	habilitaríais
implicaba	implicaríais
incluía	incluiríais
jugaba	jugaríais
mejoraba	mejoraríais
mencionaba	mencionaríais
mostraba	mostraríais
organizaba	organizaríais
oía	oiríais
pasaba	pasaríais
pedía	pediríais
permitía	permitiríais
ponía	pondríais
preguntaba	preguntaríais
preparaba	prepararíais
promocionaba	promocionaríais
promovía	promoveríais
publicaba	publicaríais
reforzaba	reforzaríais
representaba	representaríais
rompía	romperíais
sabía	sabríais
sacaba	sacaríais
sobrevivía	sobreviviríais
tocaba	tocaríais
trabajaba	trabajaríais
volvía	volveríais
votaba	votaríais
