abandonará	abandonaréis
acordará	acordaréis
agradecerá	agradeceréis
animará	animaréis
anunciará	anunciaréis
aparecerá	apareceréis
asegurará	aseguraréis
buscará	buscaréis
causará	causaréis
cerrará	cerraréis
comerá	comeréis
compartirá	compartiréis
concluirá	concluiréis
conseguirá	conseguiréis
construirá	construiréis
contará	contaréis
dependerá	dependeréis
destruirá	destruiréis
dirigirá	dirigiréis
entrará	entraréis
enviará	enviaréis
escribirá	escribiréis
evitará	evitaréis
existirá	existiréis
expresará	expresaréis
hará	haréis
impedirá	impediréis
jugará	jugaréis
medirá	mediréis
mejorará	mejoraréis
oirá	oiréis
parecerá	pareceréis
perderá	perderéis
permitirá	permitiréis
pondrá	pondréis
preguntará	preguntaréis
preparará	prepararéis
probará	probaréis
publicará	publicaréis
quedará	quedaréis
reemplazará	reemplazaréis
relacionará	relacionaréis
sabrá	sabréis
satisfará	satisfaréis
sentará	sentaréis
tendrá	tendréis
tocará	tocaréis
unirá	uniréis
utilizará	utilizaréis
vivirá	viviréis
