adquiriste	adquirió
agradeciste	agradeció
alentaste	alentó
anunciaste	anunció
apareciste	apareció
asumiste	asumió
averiguaste	averiguó
ayudaste	ayudó
añadiste	añadió
bailaste	bailó
celebraste	celebró
compartiste	compartió
compraste	compró
condujiste	condujo
contuviste	contuvo
creciste	creció
dependiste	dependió
desarrollaste	desarrolló
destacaste	destacó
entendiste	entendió
entraste	entró
enviaste	envió
escuchaste	escuchó
estableciste	estableció
estuviste	estuvo
formaste	formó
hubiste	hubo
identificaste	identificó
impediste	impidió
introdujiste	introdujo
leíste	leyó
lloraste	lloró
moviste	movió
perdiste	perdió
pusiste	puso
preguntaste	preguntó
presentaste	presentó
probaste	probó
proveíste	proveyó
publicaste	publicó
recuperaste	recuperó
requeriste	requirió
supiste	supo
saliste	salió
salvaste	salvó
soportaste	soportó
terminaste	terminó
usaste	usó
viajaste	viajó
viviste	vivió
