administré	administraría
alenté	alentaría
analicé	analizaría
aparecí	aparecería
aprendí	aprendería
aseguré	aseguraría
añadí	añadiría
bailé	bailaría
bebí	bebería
canté	cantaría
compartí	compartiría
comprobé	comprobaría
conocí	conocería
conseguí	conseguiría
consulté	consultaría
contribuí	contribuiría
corrí	correría
describí	describiría
disfruté	disfrutaría
empecé	empezaría
entendí	entendería
escuché	escucharía
evalué	evaluaría
evité	evitaría
examiné	examinaría
exploré	exploraría
formulé	formularía
gasté	gastaría
guardé	guardaría
hablé	hablaría
impliqué	implicaría
invertí	invertiría
limpié	limpiaría
localicé	localizaría
mantuve	mantendría
medí	mediría
miré	miraría
observé	observaría
olvidé	olvidaría
preparé	prepararía
recogí	recogería
recuperé	recuperaría
supe	sabría
seguí	seguiría
fui	sería
soporté	soportaría
sumé	sumaría
superé	superaría
utilicé	utilizaría
viajé	viajaría
