abría	abriríamos
acordaba	acordaríamos
aplicaba	aplicaríamos
aprovechaba	aprovecharíamos
bailaba	bailaríamos
causaba	causaríamos
combatía	combatiríamos
completaba	completaríamos
confiaba	confiaríamos
confirmaba	confirmaríamos
conservaba	conservaríamos
contribuía	contribuiríamos
corría	correríamos
dejaba	dejaríamos
desempeñaba	desempeñaríamos
destacaba	destacaríamos
detenía	detendríamos
elaboraba	elaboraríamos
entendía	entenderíamos
enviaba	enviaríamos
escribía	escribiríamos
financiaba	financiaríamos
funcionaba	funcionaríamos
generaba	generaríamos
identificaba	identificaríamos
imaginaba	imaginaríamos
imponía	impondríamos
indicaba	indicaríamos
iniciaba	iniciaríamos
invertía	invertiríamos
lograba	lograríamos
mataba	mataríamos
mostraba	mostraríamos
ocurría	ocurriríamos
parecía	pareceríamos
pedía	pediríamos
permitía	permitiríamos
preservaba	preservaríamos
prestaba	prestaríamos
probaba	probaríamos
promovía	promoveríamos
proporcionaba	proporcionaríamos
proveía	proveeríamos
respetaba	respetaríamos
robaba	robaríamos
salvaba	salvaríamos
supervisaba	supervisaríamos
traía	traeríamos
viajaba	viajaríamos
votaba	votaríamos
